customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,619,France,Female,42,2,0,1,1,1,101348,Churn
15647311,608,Spain,Female,41,1,83807,1,0,1,112542,Retention
15619304,502,France,Female,42,8,159660,3,1,0,113931,Churn
15701354,699,France,Female,39,1,0,2,0,0,93826,Retention
15737888,850,Spain,Female,43,2,125510,1,1,1,79084,Retention
15574012,645,Spain,Male,44,8,113755,2,1,0,149756,Churn
15592531,822,France,Male,50,7,0,2,1,1,10062,Retention
15656148,376,Germany,Female,29,4,115046,4,1,0,119346,Churn
15792365,501,France,Male,44,4,142051,2,0,1,74940,Retention
15592389,684,France,Male,27,2,134603,1,1,1,71725,Retention
15767821,528,France,Male,31,6,102016,2,0,0,80181,Retention
15737173,497,Spain,Male,24,3,0,2,1,0,76390,Retention
15632264,476,France,Female,34,10,0,2,1,0,26260,Retention
15691483,549,France,Female,25,5,0,2,0,0,190857,Retention
15600882,635,Spain,Female,35,7,0,2,1,1,65951,Retention
15643966,616,Germany,Male,45,3,143129,2,0,1,64327,Retention
15737452,653,Germany,Male,58,1,132602,1,1,0,5097,Churn
15788218,549,Spain,Female,24,9,0,2,1,1,14406,Retention
15661507,587,Spain,Male,45,6,0,1,0,0,158684,Retention
15568982,726,France,Female,24,6,0,2,1,1,54724,Retention
15577657,732,France,Male,41,8,0,2,1,1,170886,Retention
15597945,636,Spain,Female,32,8,0,2,1,0,138555,Retention
15699309,510,Spain,Female,38,4,0,1,1,0,118913,Churn
15725737,669,France,Male,46,3,0,2,0,1,8487,Retention
15625047,846,France,Female,38,5,0,1,1,1,187616,Retention
15738191,577,France,Male,25,3,0,2,0,1,124508,Retention
15736816,756,Germany,Male,36,2,136815,1,1,1,170041,Retention
15700772,571,France,Male,44,9,0,2,0,0,38433,Retention
15728693,574,Germany,Female,43,3,141349,1,1,1,100187,Retention
15656300,411,France,Male,29,0,59697,2,1,1,53483,Retention
15589475,591,Spain,Female,39,3,0,3,1,0,140469,Churn
15706552,533,France,Male,36,7,85311,1,0,1,156731,Retention
15750181,553,Germany,Male,41,9,110112,2,0,0,81898,Retention
15659428,520,Spain,Female,42,6,0,2,1,1,34410,Retention
